,Postal Area (POA),Total,ATSI,Proportion ATSI
1,4000,5652,29,0.00513092710545
3,4005,5623,41,0.00729148141561
5,4006,6258,57,0.00910834132311
7,4007,5096,25,0.00490580847724
9,4008,148,3,0.0202702702703
11,4009,0,0,0.0
13,4010,987,10,0.0101317122594
15,4011,7191,75,0.0104297037964
17,4012,8904,109,0.0122416891285
19,4013,1949,37,0.0189840944074
21,4014,4690,145,0.0309168443497
23,4017,17199,349,0.0202918774347
25,4018,4191,58,0.0138391791935
27,4019,9189,205,0.0223092828382
29,4020,9894,162,0.0163735597332
31,4021,4888,89,0.0182078559738
33,4022,2665,44,0.0165103189493
35,4025,87,0,0.0
37,4030,7293,122,0.0167283696695
39,4031,6001,122,0.0203299450092
41,4032,6587,118,0.0179140731744
43,4034,20017,356,0.0177848828496
45,4035,11915,62,0.00520352496853
47,4036,2948,54,0.0183175033921
49,4037,3679,25,0.00679532481653
51,4051,11892,111,0.00933400605449
53,4053,20335,331,0.0162773543152
55,4054,7265,157,0.0216104611149
57,4055,9334,92,0.0098564388258
59,4059,4979,43,0.00863627234384
61,4060,5845,43,0.00735671514115
63,4061,8228,38,0.00461837627613
65,4064,4827,39,0.00807955251709
67,4065,4766,16,0.00335711288292
69,4066,7605,35,0.00460223537147
71,4067,4509,12,0.00266134397871
73,4068,10735,42,0.00391243595715
75,4069,16435,31,0.00188621843626
77,4070,4283,20,0.00466962409526
79,4072,894,0,0.0
81,4073,4590,29,0.00631808278867
83,4074,11950,63,0.0052719665272
85,4075,10253,66,0.00643714034917
87,4076,2503,115,0.0459448661606
89,4077,11522,622,0.0539836833883
91,4078,11120,155,0.0139388489209
93,4101,7939,144,0.0181383045724
95,4102,2526,47,0.0186064924782
97,4103,6132,76,0.0123939986954
99,4104,2723,33,0.012118986412
101,4105,5636,57,0.0101135557133
103,4106,966,11,0.0113871635611
105,4107,2720,48,0.0176470588235
107,4108,2291,45,0.0196420776953
109,4109,17160,135,0.00786713286713
111,4110,3883,219,0.0563996909606
113,4111,676,7,0.0103550295858
115,4112,3320,34,0.0102409638554
117,4113,12532,123,0.00981487392276
119,4114,15768,862,0.05466768138
121,4115,8444,79,0.00935575556608
123,4116,8808,36,0.00408719346049
125,4117,66,3,0.0454545454545
127,4118,13545,271,0.0200073827981
129,4119,2258,34,0.0150575730735
131,4120,4174,55,0.0131768088165
133,4121,11604,165,0.0142192347466
135,4122,20750,285,0.013734939759
137,4123,8183,95,0.0116094341928
139,4124,8035,136,0.0169259489732
141,4125,3308,42,0.0126964933495
143,4127,10768,172,0.0159732540862
145,4128,7923,43,0.00542723715764
147,4129,3695,62,0.0167794316644
149,4130,2939,21,0.00714528751276
151,4131,4245,195,0.0459363957597
153,4132,9576,365,0.0381161236424
155,4133,5281,119,0.0225336110585
157,4151,7153,82,0.0114637215154
159,4152,20737,227,0.0109466171577
161,4153,1878,11,0.00585729499468
163,4154,2732,22,0.00805270863836
165,4155,531,3,0.00564971751412
167,4156,1449,3,0.00207039337474
169,4157,9707,148,0.0152467291645
171,4158,1753,39,0.0222475755847
173,4159,6866,48,0.00699096999709
175,4160,8230,99,0.0120291616039
177,4161,8598,137,0.0159339381251
179,4163,7135,61,0.00854940434478
181,4164,5366,60,0.0111815132315
183,4165,14241,155,0.0108840671301
185,4169,5820,75,0.0128865979381
187,4170,9914,125,0.0126084325197
189,4171,6714,64,0.00953232052428
191,4172,1780,53,0.0297752808989
193,4173,4165,107,0.0256902761104
195,4174,1295,49,0.0378378378378
197,4178,11734,293,0.0249701721493
199,4179,8707,136,0.0156196164006
201,4183,975,191,0.195897435897
203,4184,2432,55,0.0226151315789
205,4205,2574,77,0.0299145299145
207,4207,20970,555,0.0264663805436
209,4208,5302,87,0.016408902301
211,4209,9341,167,0.017878171502
213,4210,6533,70,0.0107148323894
215,4211,24623,324,0.013158429111
217,4212,10278,94,0.00914574820004
219,4213,13287,145,0.0109129224054
221,4214,17850,174,0.00974789915966
223,4215,20293,256,0.0126151875031
225,4216,16022,126,0.00786418674323
227,4217,16180,89,0.00550061804697
229,4218,14358,81,0.00564145424154
231,4219,647,5,0.00772797527048
233,4220,12956,91,0.00702377276937
235,4221,12801,190,0.0148425904226
237,4223,6671,115,0.0172387947834
239,4224,2434,42,0.0172555464256
241,4225,3042,49,0.0161078238001
243,4226,14595,96,0.0065775950668
245,4227,5969,53,0.00887920924778
247,4228,5218,66,0.0126485243388
249,4229,138,0,0.0
251,4230,590,3,0.00508474576271
253,4270,1588,35,0.022040302267
255,4271,1436,9,0.00626740947075
257,4272,1961,4,0.00203977562468
259,4275,1507,15,0.00995355009954
261,4280,6435,119,0.0184926184926
263,4285,7689,235,0.0305631421511
265,4287,250,3,0.012
267,4300,17123,698,0.0407638848333
269,4301,7688,206,0.0267950052029
271,4303,2155,191,0.0886310904872
273,4304,7381,236,0.0319739872646
275,4305,26067,926,0.0355238424061
277,4306,14091,244,0.017316017316
279,4307,392,5,0.0127551020408
281,4309,1216,13,0.0106907894737
283,4310,2683,31,0.0115542303392
285,4311,4304,99,0.0230018587361
287,4312,1132,14,0.0123674911661
289,4313,1084,31,0.0285977859779
291,4340,2323,60,0.0258286698235
293,4341,5251,130,0.0247571891068
295,4342,844,38,0.0450236966825
297,4343,4587,111,0.02419882276
299,4344,1298,17,0.0130970724191
301,4345,132,0,0.0
303,4346,259,4,0.015444015444
305,4347,379,6,0.0158311345646
307,4350,51869,1581,0.0304806339046
309,4352,9947,148,0.0148788579471
311,4354,519,18,0.0346820809249
313,4355,1236,15,0.0121359223301
315,4356,1966,46,0.0233977619532
317,4357,1211,33,0.027250206441
319,4358,1016,15,0.0147637795276
321,4359,494,0,0.0
323,4360,194,0,0.0
325,4361,1192,22,0.0184563758389
327,4362,937,24,0.025613660619
329,4363,374,7,0.0187165775401
331,4364,135,4,0.0296296296296
333,4365,225,4,0.0177777777778
335,4370,8944,278,0.0310822898032
337,4371,181,0,0.0
339,4373,416,22,0.0528846153846
341,4374,90,0,0.0
343,4377,399,9,0.0225563909774
345,4380,3763,46,0.012224289131
347,4381,303,4,0.013201320132
349,4382,186,7,0.0376344086022
351,4383,184,16,0.0869565217391
353,4387,580,44,0.0758620689655
355,4388,220,3,0.0136363636364
357,4390,3104,122,0.0393041237113
359,4400,727,28,0.0385144429161
361,4401,2787,197,0.0706853247219
363,4402,328,16,0.0487804878049
365,4403,163,9,0.0552147239264
367,4404,375,10,0.0266666666667
369,4405,6302,351,0.0556966042526
371,4407,212,3,0.0141509433962
373,4408,343,5,0.0145772594752
375,4410,595,22,0.036974789916
377,4411,252,10,0.0396825396825
379,4412,215,3,0.0139534883721
381,4413,2515,91,0.0361829025845
383,4415,1006,46,0.0457256461233
385,4416,168,4,0.0238095238095
387,4417,375,38,0.101333333333
389,4418,76,0,0.0
391,4419,376,3,0.00797872340426
393,4420,695,13,0.0187050359712
395,4421,1432,82,0.0572625698324
397,4422,267,4,0.0149812734082
399,4423,42,0,0.0
401,4424,50,0,0.0
403,4425,102,9,0.0882352941176
405,4426,82,0,0.0
407,4427,76,9,0.118421052632
409,4428,331,19,0.0574018126888
411,4454,374,12,0.0320855614973
413,4455,3993,318,0.0796393688956
415,4462,108,0,0.0
417,4465,653,76,0.116385911179
419,4467,89,0,0.0
421,4468,146,4,0.027397260274
423,4470,1875,231,0.1232
425,4472,742,15,0.0202156334232
427,4474,29,0,0.0
429,4475,30,0,0.0
431,4477,260,11,0.0423076923077
433,4478,278,16,0.0575539568345
435,4480,428,48,0.11214953271
437,4481,74,10,0.135135135135
439,4482,58,23,0.396551724138
441,4486,323,83,0.256965944272
443,4487,1544,241,0.156088082902
445,4488,152,18,0.118421052632
447,4489,54,6,0.111111111111
449,4490,833,276,0.331332533013
451,4491,47,4,0.0851063829787
453,4492,107,18,0.168224299065
455,4493,24,3,0.125
457,4494,227,6,0.0264317180617
459,4496,90,0,0.0
461,4497,193,17,0.0880829015544
463,4498,57,5,0.0877192982456
465,4500,15730,254,0.0161474888748
467,4501,2873,86,0.0299338670379
469,4502,4339,58,0.0133671352846
471,4503,13767,256,0.0185951913997
473,4504,6506,83,0.0127574546572
475,4505,7734,144,0.0186190845617
477,4506,9262,182,0.0196501835457
479,4507,8294,143,0.0172413793103
481,4508,9131,292,0.0319789727303
483,4509,4668,56,0.0119965724079
485,4510,17294,482,0.0278709378975
487,4511,3114,66,0.0211946050096
489,4512,1145,19,0.0165938864629
491,4514,2311,49,0.0212029424492
493,4515,1172,38,0.0324232081911
495,4516,1805,13,0.00720221606648
497,4517,150,0,0.0
499,4518,2221,40,0.018009905448
501,4519,2863,52,0.018162766329
503,4520,5494,41,0.00746268656716
505,4521,1848,24,0.012987012987
507,4550,1894,38,0.0200633579725
509,4551,21663,272,0.0125559710105
511,4552,3750,37,0.00986666666667
513,4553,2349,22,0.00936568752661
515,4554,975,3,0.00307692307692
517,4555,3289,40,0.0121617512922
519,4556,18308,128,0.0069914791348
521,4557,6716,73,0.0108695652174
523,4558,8243,122,0.0148004367342
525,4559,2379,30,0.0126103404792
527,4560,13469,272,0.0201945207514
529,4561,2749,25,0.00909421607857
531,4562,3539,21,0.00593387962701
533,4563,3881,55,0.0141716052564
535,4564,4435,58,0.0130777903044
537,4565,6835,78,0.0114118507681
539,4566,3409,14,0.0041067761807
541,4567,5122,41,0.00800468566966
543,4568,1321,14,0.0105980317941
545,4569,989,3,0.00303336703741
547,4570,18198,386,0.0212111221013
549,4571,269,10,0.0371747211896
551,4572,1638,12,0.00732600732601
553,4573,8733,79,0.0090461467995
555,4574,551,7,0.0127041742287
557,4575,10149,124,0.0122179525076
559,4580,1959,59,0.0301174068402
561,4581,633,12,0.0189573459716
563,4600,329,20,0.0607902735562
565,4601,600,8,0.0133333333333
567,4605,2337,723,0.309370988447
569,4606,967,56,0.0579110651499
571,4608,416,20,0.0480769230769
573,4610,6851,117,0.0170777988615
575,4612,260,0,0.0
577,4613,344,12,0.0348837209302
579,4614,481,14,0.029106029106
581,4615,3074,114,0.0370852309694
583,4620,59,3,0.0508474576271
585,4621,945,18,0.0190476190476
587,4625,1375,87,0.0632727272727
589,4626,991,40,0.0403632694248
591,4627,413,85,0.205811138015
593,4630,1228,21,0.0171009771987
595,4650,15634,430,0.0275041576052
597,4655,24142,623,0.0258056499047
599,4659,1922,48,0.0249739854318
601,4660,2931,60,0.0204708290686
603,4662,213,4,0.018779342723
605,4670,36747,1093,0.0297439246741
607,4671,2471,73,0.0295426952651
609,4673,185,6,0.0324324324324
611,4674,706,14,0.0198300283286
613,4676,128,0,0.0
615,4677,1302,26,0.0199692780338
617,4678,313,0,0.0
619,4680,21593,713,0.0330199601723
621,4694,131,4,0.030534351145
623,4695,528,24,0.0454545454545
625,4699,52,3,0.0576923076923
627,4700,8901,404,0.0453881586339
629,4701,20472,1360,0.0664322000782
631,4702,11915,503,0.0422156945027
633,4703,8159,230,0.0281897291335
635,4705,201,3,0.0149253731343
637,4706,52,0,0.0
639,4707,144,3,0.0208333333333
641,4709,741,27,0.0364372469636
643,4710,1591,72,0.0452545568825
645,4711,795,6,0.00754716981132
647,4712,116,31,0.26724137931
649,4713,428,398,0.929906542056
651,4714,1289,165,0.128006206362
653,4715,3440,93,0.0270348837209
655,4716,395,8,0.020253164557
657,4717,2292,96,0.0418848167539
659,4718,1087,48,0.0441582336707
661,4719,659,53,0.0804248861912
663,4720,5983,194,0.0324252047468
665,4721,1580,21,0.0132911392405
667,4722,732,24,0.0327868852459
669,4723,382,9,0.0235602094241
671,4724,283,13,0.0459363957597
673,4725,815,74,0.0907975460123
675,4726,265,10,0.0377358490566
677,4727,131,3,0.0229007633588
679,4728,147,0,0.0
681,4730,1816,70,0.0385462555066
683,4731,82,0,0.0
685,4732,43,0,0.0
687,4733,20,0,0.0
689,4735,620,70,0.112903225806
691,4736,65,4,0.0615384615385
693,4737,3448,203,0.0588747099768
695,4738,340,10,0.0294117647059
697,4739,154,5,0.0324675324675
699,4740,35832,1490,0.0415829426211
701,4741,2818,42,0.0149041873669
703,4742,602,19,0.031561461794
705,4743,499,11,0.0220440881764
707,4744,3265,71,0.0217457886677
709,4745,1321,39,0.0295230885693
711,4746,1040,23,0.0221153846154
713,4750,2175,93,0.0427586206897
715,4751,1756,48,0.0273348519362
717,4753,1070,28,0.0261682242991
719,4754,961,22,0.0228928199792
721,4756,253,12,0.0474308300395
723,4757,167,9,0.0538922155689
725,4798,478,24,0.0502092050209
727,4799,485,16,0.0329896907216
729,4800,3774,135,0.0357710651828
731,4801,185,0,0.0
733,4802,3388,37,0.0109208972845
735,4803,575,0,0.0
737,4804,1153,38,0.0329575021683
739,4805,4710,343,0.0728237791932
741,4806,1993,112,0.0561966884094
743,4807,5564,300,0.0539180445723
745,4808,393,33,0.0839694656489
747,4809,490,14,0.0285714285714
749,4810,9308,427,0.0458745165449
751,4811,5443,331,0.0608120521771
753,4812,9426,481,0.0510290685338
755,4813,42,0,0.0
757,4814,18910,1155,0.0610787942887
759,4815,11021,965,0.0875601125125
761,4816,3978,1045,0.262694821518
763,4817,13197,660,0.0500113662196
765,4818,6437,261,0.0405468385894
767,4819,983,12,0.0122075279756
769,4820,5161,428,0.0829296647936
771,4821,790,78,0.0987341772152
773,4822,327,23,0.0703363914373
775,4823,395,17,0.0430379746835
777,4824,1327,280,0.211002260739
779,4828,154,81,0.525974025974
781,4829,159,56,0.352201257862
783,4830,720,544,0.755555555556
785,4849,886,61,0.068848758465
787,4850,5606,313,0.0558330360328
789,4852,1124,22,0.0195729537367
791,4854,3156,345,0.109315589354
793,4855,125,6,0.048
795,4856,156,0,0.0
797,4857,144,0,0.0
799,4858,701,35,0.0499286733238
801,4859,231,30,0.12987012987
803,4860,5871,641,0.109180718787
805,4861,878,80,0.0911161731207
807,4865,2565,286,0.111500974659
809,4868,8435,876,0.10385299348
811,4869,7766,715,0.0920679886686
813,4870,29660,2710,0.0913688469319
815,4871,7856,3614,0.460030549898
817,4872,2932,185,0.0630968622101
819,4873,2886,367,0.127165627166
821,4874,1809,725,0.400773908237
823,4875,3776,3164,0.837923728814
825,4876,1001,920,0.919080919081
827,4877,1992,30,0.0150602409639
829,4878,5548,306,0.0551550108147
831,4879,6460,143,0.0221362229102
833,4880,5143,545,0.105969278631
835,4881,1829,195,0.10661563696
837,4882,1072,39,0.0363805970149
839,4883,3648,251,0.0688048245614
841,4884,825,17,0.0206060606061
843,4885,2071,86,0.041525832931
845,4886,302,18,0.0596026490066
847,4887,957,134,0.140020898642
849,4888,1403,156,0.111190306486
851,4890,666,358,0.537537537538
853,4891,232,20,0.0862068965517
855,4895,1713,663,0.38704028021
857,4998,5542,203,0.0366293756767
859,4999,11,0,0.0
861,Total,1959175,63116,0.0322156009545
